"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
22,30,33,161,10,40,54,155,14,44,62,236,1,7,3
23,23,54,0,31,31,61,0,42,42,88,0,9,13,21
13,14,39,23,19,19,48,12,28,29,101,14,3,9,12
15,15,50,0,35,35,79,0,24,24,80,0,12,26,19
7,8,17,150,13,13,59,13,13,14,58,67,5,13,11
2,20,32,42,23,32,62,160,11,40,53,88,1,13,5
5,5,31,40,13,14,40,33,17,17,45,3,0,8,7
11,12,53,0,9,15,39,0,23,28,66,0,7,3,17
7,21,30,4,19,47,59,149,28,28,73,0,5,15,9
13,27,29,292,18,49,58,234,19,36,45,245,4,15,10
12,17,27,222,17,29,44,184,6,10,22,203,11,14,5
13,19,32,98,12,34,53,217,21,21,34,42,7,9,15
17,21,34,48,4,7,12,0,17,24,45,15,14,2,12
7,27,59,0,17,23,62,0,14,14,42,0,2,9,10
1,19,30,144,13,29,49,134,6,62,90,275,1,13,6
36,50,83,224,31,59,89,209,22,45,74,199,31,26,20
11,28,34,233,16,17,41,0,11,12,56,30,10,14,11
10,18,40,20,10,28,38,17,17,18,62,7,3,3,4
15,23,41,51,8,12,24,193,18,21,35,41,9,5,13
18,18,52,0,8,11,31,42,40,56,98,82,14,7,35
7,7,43,0,27,27,74,0,15,19,46,1,3,12,5
10,10,36,0,40,40,95,1,28,31,72,117,4,33,19
6,7,33,22,6,11,32,0,14,23,38,0,3,4,10
12,18,38,0,16,18,43,0,19,21,38,0,5,4,8
20,20,48,6,19,34,64,235,12,43,71,231,16,18,10
12,12,62,38,9,10,48,23,15,15,72,3,7,2,13
20,44,54,152,19,47,69,219,10,82,89,218,11,13,4
16,22,38,117,39,42,72,95,24,40,61,260,8,32,22
15,46,83,182,29,29,82,0,34,34,87,0,13,15,17
9,26,33,96,6,72,94,240,8,34,55,14,2,3,5
24,25,29,0,17,17,38,5,17,24,48,14,5,7,10
7,8,30,0,13,13,30,7,15,17,40,48,5,5,6
19,34,48,223,5,19,41,188,12,32,59,164,8,2,8
40,62,96,105,13,25,41,0,42,67,101,132,31,7,34
20,20,53,3,14,33,64,46,18,18,47,0,3,6,7
22,27,73,93,29,30,97,2,25,25,98,0,16,20,11
32,32,71,0,58,59,90,0,51,51,94,27,24,50,45
32,32,111,0,33,34,98,17,6,9,32,4,25,27,3
20,30,42,201,7,13,15,261,20,39,60,128,10,4,11
33,37,74,12,21,21,48,1,17,17,47,11,17,8,5
16,45,70,164,15,42,73,134,21,52,90,165,7,9,17
10,18,26,128,8,18,27,107,4,5,19,3,2,3,2
